Язык	ISO 639-1	ISO 639-2	ISO 639-3	ГОСТ 7.75–97	Цифровой код
Абазинский	—	—	abq	аба	005
Абхазский	ab	abk	abk	абх	010
Авадхи	—	awa	awa	авд	012
Аварский	av	ava	ava	ава	014
Авестийский	ae	ave	ave	аве	016
Адангме	—	ada	ada	ада	018
Адыгейский	—	ady	ady	ады	020
Азербайджанский	az	aze	aze	азе	025
Аймара	ay	aym	aym	айм	026
Айну	—	ain	ain	—	—
Акан	ak	aka	aka	ака	027
Аккадский	—	akk	akk	акк	028
Албанский	sq	alb/sqi	sqi	алб	030
Алеутский	—	ale	ale	але	033
Алтайский	—	alt	alt	алт	035
Амхарский	am	amh	amh	амх	040
Английский	en	eng	eng	анг	045
Арабский	ar	ara	ara	ара	050
Аравакский	—	arw	arw	арв	051
Арамейский	—	arc	arc	аре	052
Арапахо	—	arp	arp	арп	053
Арауканский	—	arn	arn	арн	054
Армянский	hy	arm/hye	hye/axm/xcl	арм	055
Ассамский	as	asm	asm	аса	060
Ассирийский	—	—	aii	асе	065
Атапачские	—	—	ath	ата	067
Афарский	aa	aar	aar	афа	068
Африкаанс	af	afr	afr	афр	070
Африхили	—	afh	afh	афх	073
Ахвахский	—	akv	akv	ахв	074
Ацтекский	—	—	nah	ацт	075
Ачехский	—	ace	ace	аче	076
Ачоли	—	ach	ach	ачо	077
Балийский	—	ban	ban	бал	078
Бамбара	bm	bam	bam	бам	080
Банда	—	bad	bad	бан	082
Баса	—	bas	bas	бас	084
Баскский	eu	baq/eus	eus	бак	085
Башкирский	ba	bak	bak	баш	086
Беджа	—	bej	bej	бед	087
Белорусский	be	bel	bel	бел	090
Белуджский	—	bal	bal	беу	095
Бемба	—	bem	bem	бем	097
Бенгальский	bn	ben	ben	бен	100
Бикольский	—	bik/ bcl	bik	бик	103
Бини	—	bin	bin	бин	104
Бирманский	my	bur/mya	mya	бир	105
Бислама	bi	bis	bis	бис	107
Болгарский	bg	bul	bul	бол	115
Боснийский	bs	bos	bos	боc	—
Брауи	—	—	brh	бра	117
Бретонский	br	bre	bre	бре	120
Бугийский	—	bug	bug	буг	123
Бурятский	—	bua	bua	бур	125
Бходжпури	—	bho	bho	бхо	126
Ваи	—	vai	vai	ваи	127
Валлийский	cy	cym/wel	cym	вал	130
Варай	—	war	war	вар	131
Вашо	—	was	was	ваш	132
Венгерский	hu	hun	hun	вен	133
Венда	ve	ven	ven	вед	134
Вепсский	—	—	vep	веп	135
Воламо	—	wal	wal	воа	136
Волапюк	vo	vol	vol	вол	137
Волоф	wo	wol	wol	воф	138
Вьетнамский	vi	vie	vie	вье	140
Га	—	gaa	gaa	гаа	142
Гавайский	—	haw	haw	гав	143
Гагаузский	—	—	gag	гаг	145
Гайо	—	gay	gay	гай	146
Галисийский	gl	glg	glg	гал	147
Ганда	lg	lug	lug	ган	148
Гереро	hz	her	her	гер	149
Геэз	—	gez	gez	гез	151
Гилбертский	—	gil	gil	гил	152
Гонди	—	gon	gon	гон	153
Готский	—	got	got	гот	154
Гребо	—	grb	grb	грб	155
Гренландский	kl	kal	kal	эсм	843
Греческий (новогреческий)	el	ell/gre	ell	гре	157
Грузинский	ka	geo/kat	kat	гру	158
Гуарани	gn	grn	grn	гуа	160
Гуджарати	gu	guj	guj	гуд	165
Гэльский	gd	gla	gla	гэл	170
Дакота	—	dak	dak	дак	173
Даргинский	—	—	dar	даг	175
Датский	da	dan	dan	дат	178
Делавэрский	—	del	del	дел	179
Дзонг-кэ	dz	dzo	dzo	дзо	183
Дивехи (Мальдивский)	dv	div	div	див	180
Динка	—	din	din	дин	181
Диула (Дьюла)	—	dyu	dyu	диу	182
Догри	—	doi	doi	дои	184
Древнегреческий	—	grc	grc	дрг	186
Древнеегипетский	—	egy	egy	дре	187
Древнерусский	—	—	orv	дрр	188
Древнесаксонский	—	—	osx		
Дуала	—	dua	dua	дуа	190
Дунганский	—	—	dng	дун	191
Еврейско-арабский	—	jrb	jrb	еар	192
Еврейско-персидский	—	jpr	jpr	епе	193
Зенагский	—	zen	zen	зен	194
Зулу	zu	zul	zul	зул	195
Зуньи	—	zun	zun	зун	196
Ибанский	—	iba	iba	иба	197
Иврит	he	heb	heb	ивр	198
Игбо	ig	ibo	ibo	ибо	199
Идиш	yi	yid	yid	иди	202
Илоко	—	ilo	ilo	ило	203
Ингушский	—	inh	inh	инг	205
Индонезийский	id	ind	ind	инд	210
Интерлингва	ia	ina	ina	ина	215
Интерлингве	ie	ile	ile	ине	216
Инуктитут	iu	iku	iku	инк	217
Инупиак	ik	ipk	ipk	инп	218
Ирландский	ga	gle	gle	ирл	220
Исландский	is	ice/isl	isl	исл	225
Испанский	es	esl/spa	spa	исп	230
Итальянский	it	ita	ita	ита	235
Ительменский	—	—	itl	ите	240
Йоруба	yo	yor	yor	йор	245
Кабардино-черкесский	—	kbd	kbd	каа	250
Кабильский	—	kab	kab	каб	251
Кави	—	kaw	kaw	каг	252
Каддо	—	cad	cad	кад	254
Казахский	kk	kaz	kaz	каз	255
Калмыцкий	—	xal	xal	кал	260
Камба	—	kam	kam	кам	263
Каннада	kn	kan	kan	кан	265
Канури	kr	kau	kau	кау	267
Караимский	—	—	kdr	каи	270
Каракалпакский	—	kaa	kaa	кал	275
Карачаево-балкарский	—	krc	krc	као	280
Карельский	—	krl	krl	кас	285
Кариб	—	car	car	кар	288
Каталанский	ca	cat	cat	кат	290
Качинский	—	kac	kac	кач	293
Кашмири	ks	kas	kas	каш	294
Кечуа	qu	que	que	кеч	300
Кикуйю	ki	kik	kik	кик	302
Киньяма	kj	kua	kua	кия	303
Киргизский	ky	kir	kir	кир/кыр	305
Китайский	zh	chi/zho	zho	кит	315
Коми	kv	kom	kom	кои	320
Коми-пермяцкий	—	—	koi	ком	325
Конго	kg	kon	kon	кон	326
Конкани	—	kok	kok	кок	327
Коптский	—	cop	cop	коп	328
Корейский	ko	kor	kor	коо	330
Корнский	kw	cor	cor	кор	332
Корсиканский	co	cos	cos	кос	334
Корякский	—	—	kpy	коя	335
Коса	xh	xho	xho	коа	340
Кпелле	—	kpe	kpe	кпе	341
Крик	—	mus	mus	крк	344
Крымско-татарский	—	crh	crh	кры	347
Кумыкский	—	kum	kum	кум	349
Курдский	ku	kur	kur	кур	350
Курух	—	kru	kru	куу	352
Кусайе	—	kos	kos	кус	353
Кутенай	—	kut	kut	кут	354
Кхаси	—	kha	kha	кха	357
Кхмерский	km	khm	khm	кхм	360
Ладино	—	lad	lad	лад	363
Лакский	—	—	lbe	лак	370
Ламба	—	lam	lam	лам	373
Лаосский	lo	lao	lao	лао	375
Латинский	la	lat	lat	лат	380
Латышский	lv	lav	lav	лаш	385
Лахнда	—	lah	lah	лах	387
Лезгинский	—	lez	lez	лез	390
Лингала	ln	lin	lin	лин	395
Литовский	lt	lit	lit	лит	400
Лози	—	loz	loz	лоз	402
Луба-катанга	lu	lub	lub	луб	404
Луисеньо	—	lui	lui	луи	406
Лунда	—	lun	lun	лун	407
Луо	—	luo	luo	луо	408
Люксембургский	lb	ltz	ltz	люк	409
Магахи	—	mag	mag	маг	410
Мадурский	—	mad	mad	мад	411
Майтхили	—	mai	mai	май	412
Макассарский	—	mak	mak	мак	414
Македонский	mk	mac/mkd	mkd	маа	415
Малагасийский	mg	mlg	mlg	млг	418
Малайский	ms	may/msa	msa	маз	420
Малаялам	ml	mal	mal	мал	425
Мальтийский	mt	mlt	mlt	млт	430
Мандинго	—	man	man	май	432
Манипури	—	mni	mni	мни	433
Мансийский (Вогульский)	—	—	mns	ман	435
Маори	mi	mao/mri	mri	мао	437
Маратхи	mr	mar	mar	мар	440
Марвари	—	mwr	mwr	мвр	443
Марийский (черемисский)	—	chm	chm	мач	445
Маршалльский	mh	mah	mah	маш	446
Масаи	—	mas	mas	мас	447
Менде	—	men	men	мен	451
Микмак	—	mic	mic	мик	452
Минангкабау	—	min	min	мин	453
Мокшанский	—	mdf	mdf	мок	455
Молдавский	—	—	—	мол	460
Монго	—	lol	lol	мог	462
Монгольский	mn	mon	mon	мон	463
Мооре	—	mos	mos	мос	466
Мохаук	—	moh	moh	мох	467
Мэнский (Мэнкский)	gv	glv	glv	мэн	469
Навахо	nv	nav	nav	нав	470
Нанайский (гольдский)	—	—	gld	нан	471
Науру	na	nau	nau	нау	472
Ндебеле северный	nd	nde	nde	нде	473
Ндебеле южный	nr	nbl	nbl	нбл	474
Ндунга	ng	ndo	ndo	нду	475
Неварский	—	new	new	нев	478
Неидентифицированный	—	und	und	унд	480
Немецкий	de	deu/ger	deu	нем	481
Ненецкий (юрако-самоедский)	—	—	yrk	нен	482
Непальский	ne	nep	nep	неп	485
Нзима	—	nzi	nzi	нзи	487
Нивхский (гиляцкий)	—	—	niv	нив	490
Нидерландский (Голландский)	nl	dut/nld	nld	нид	495
Нидерландский средневековый	—	dum	dum	нис	496
Ниуэ	—	niu	niu	ниу	498
Ногайский	—	nog	nog	ног	505
Норвежский	no	nor	nor	нор	506
Ньоро	—	nyo	nyo	ньо	508
Ньямвези	—	nym	nym	ням	509
Ньянджа	ny	nya	nya	нян	510
Ньянколе	—	nyn	nyn	нья	512
Нюнорск (новонорвежский)	nn	nno	nno	нно	513
Оджибве	oj	oji	oji	одж	515
Окситанский	oc	oci	oci	окс	517
Ория	or	ori	ori	ори	520
Оромо	om	orm	orm	орм	522
Оседжи	—	osa	osa	осе	523
Осетинский	os	oss	oss	ост	524
Палау	—	pau	pau	пал	526
Пали	pi	pli	pli	пли	527
Пампанга	—	pam	pam	пам	528
Пангасинан	—	pag	pag	паг	529
Пенджабский	pa	pan	pan	пан	530
Папьяменто	—	pap	pap	пап	533
Персидский	fa	fas/per	fas	пер	535
Пехлевийский	—	pal	pal	пех	537
Польский	pl	pol	pol	пол	540
Понапе	—	pon	pon	пон	542
Португальский	pt	por	por	пор	545
Пушту	ps	pus	pus	пуш	550
Раджастхани	—	raj	raj	рад	555
Разных семей языки	—	mul	mul	мул	556
Раротонга	—	rar	rar	рар	557
Ретороманский	rm	roh	roh	рет	560
Руанда	rw	kin	kin	кин	304
Румынский	ro	ron/rum	ron	рум	565
Рунди	rn	run	run	рун	567
Русский	ru	rus	rus	рус	570
Рутульский	—	—	rut	рут	
Саамский	—	smi	smi	саа	575
Самаритянский арамейский	—	sam	sam	сам	577
Самоанский	sm	smo	smo	смо	578
Санго	sg	sag	sag	саг	579
Сандаве	—	sad	sad	сад	580
Санскрит	sa	san	san	сан	581
Сапотекский	—	zap	zap	сап	582
Сардинский	sc	srd	srd	срд	583
Свази	ss	ssw	ssw	сва	584
Себуано	—	ceb	ceb	себ	587
Селькупский	—	sel	sel	сел	590
Сербский	sr	scc	srp		
Серер	—	srr	srr	срр	596
Сибирскотатарский	—	—	sty	сиб	594*
Сидама	—	sid	sid	сид	597
Сиксика	—	bla	bla	сик	598
Сингальский	si	sin	sin	син	599
Синдхи	sd	snd	snd	снд	600
Сирийский	—	syr	syr	сир	602
Словацкий	sk	slk/slo	slk	сло	605
Словенский	sl	slv	slv	слв	610
Согдийский	—	sog	sog	сог	613
Сомали	so	som	som	сом	615
Сото северный	—	nso	nso	сос	617
Сото южный	st	sot	sot	сот	618
Среднеанглийский	—	enm	enm	сра	619
Средневерхненемецкий	—	gmh	gmh	срн	620
Среднеирландский	—	mga	mga	сеи	621
Среднефранцузский	—	frm	frm	срф	622
Староанглийский	—	ang	ang	ста	623
Староверхненемецкий	—	goh	goh	свн	624
Староирландский	—	sga	sga	сти	625
Старонорвежский	—	non	non	стн	626
Староперсидский	—	peo	peo	стп	627
Старопровансальский	—	pro	pro	спр	628
Старотурецкий	—	ota	ota	стт	629
Старофранцузский	—	fro	fro	стф	630
Суахили	sw	swa	swa	суа	631
Сукума	—	suk	suk	сук	632
Сунданский	su	sun	sun	сун	633
Сусу	—	sus	sus	сус	634
Табасаранский	—	—	tab	таб	635
Тагальский	tl	tgl	tgl	таг	636
Таджикский	tg	tgk	tgk	тад	640
Тайский	th	tha	tha	таи	645
Таитянский	ty	tah	tah	тая	647
Талышский	—	—	tly	тал	650
Тамашек	—	tmh	tmh	тмш	653
Тамильский	ta	tam	tam	там	655
Татарский	tt	tat	tat	тар	660
Тви	tw	twi	twi	тви	670
Телугу	te	tel	tel	тел	675
Темне	—	tem	tem	тем	677
Терено	—	ter	ter	тер	678
Тибетский	bo	bod/tib	bod	тиб	680
Тиви	—	tiw	tiw	тив	681
Тигре	—	tig	tig	тиг	682
Тигринья	ti	tir	tir	тир	683
Тлингит	—	tli	tli	тли	684
Тонга (Ньяса)	—	tog	tog	тог	685
Тонганский	to	ton	ton	тон	686
Трукский	—	—	chk	тру	687
Тсвана	tn	tsn	tsn	тсн	688
Тсонга	ts	tso	tso	тсо	689
Тувинский	—	tyv	tyv	тув	690
Тумбука	—	tum	tum	тум	692
Турецкий	tr	tur	tur	тур	693
Туркменский	tk	tuk	tuk	тук	695
Угаритский	—	uga	uga	уга	697
Удмуртский (вотяцкий)	—	udm	udm	удм	700
Удэгейский	—	—	ude	удэ	705
Узбекский	uz	uzb	uzb	узб	710
Уйгурский	ug	uig	uig	уйг	715
Украинский	uk	ukr	ukr	укр	720
Ульчский	—	—	ulc	уль	725
Умбунду	—	umb	umb	умб	727
Урду	ur	urd	urd	урд	730
Фанг	—	fan	fan	фан	732
Фанти	—	fat	fat	фат	733
Фарерский	fo	fao	fao	фар	735
Фиджи	fj	fij	fij	фид	737
Филиппинский	fl	fil	fil	таг	636
Финикийский	—	phn	phn	фик	738
Финский (Suomi)	fi	fin	fin	фин	740
Фон	—	fon	fon	фон	743
Французский	fr	fra/fre	fra	фра	745
Фризский	fy	fry	fry	фри	750
Фулах	ff	ful	ful	фул	752
Хайда	—	hai	hai	хай	753
Хакасский	—	—	kjh	хак	755
Хантыйский (остяцкий)	—	—	kca	хан	760
Хауса	ha	hau	hau	хау	761
Хилигайнон	—	hil	hil	хил	762
Хинди	hi	hin	hin	хин	770
Хиримоту	ho	hmo	hmo	хмо	772
Хорватский	hr	hrv/scr	hrv	—	—
Хотанский	—	kho	kho	хот	773
Хупа	—	hup	hup	хуп	774
Цахурский	—	—	tkr	цах	775
Церковнославянский (Старославянский)	cu	chu	chu	цер	777
Цимшиан	—	tsi	tsi	цим	778
Цыганский	—	rom	rom	цыг	780
Чагатайский	—	chg	chg	чаг	781
Чаморро	ch	cha	cha	чам	782
Шайенн (Чейенн)	—	chy	chy	чей	783
Чероки	—	chr	chr	чер	784
Чеченский	ce	che	che	чеч	785
Чешский	cs	ces/cze	ces	чеш	790
Чжуанский	za	zha	zha	чжу	791
Чибча	—	chb	chb	чиб	792
Чинук жаргон	—	chn	chn	чин	793
Чоктав	—	cho	cho	чок	794
Чувашский	cv	chv	chv	чув	795
Чукотский	—	—	ckt	чук	800
Шанский	—	shn	shn	шан	803
Шведский	sv	sve/swe	swe	шве	805
Шона	sn	sna	sna	шон	807
Шорский	—	—	cjs	шор	810
Шотландский (англо-шотландский)	—	sco	sco	—	—
Шугнанский	—	—	sgh	шуг	815
Шумерский	—	sux	sux	шум	817
Эве	ee	ewe	ewe	эве	820
Эвенкийский (тунгусский)	—	—	evn	эвк	825
Эвенский	—	—	eve	эвн	830
Эвондо	—	ewo	ewo	эво	832
Экаджук	—	eka	eka	эка	833
Эламский	—	elx	elx	эла	834
Эрзянский	—	myv	myv	эрз	835
Эсперанто	eo	epo	epo	эсп	845
Эстонский	et	est	est	эст	850
Эфик	—	efi	efi	эфи	852
Яванский	jv	jav/jaw	jav	ява	860
Якутский (Саха)	—	sah	sah	яку	865
Яо	—	yao	yao	яоа	867
Яп	—	yap	yap	япа	868
Японский	ja	jpn	jpn	япо	870
